channel,reason,ref
AstroShowcase.my,dmca,https://github.com/FancyCoolerGuy2283/Free-TV-IPTV/issues/6
AstroAEC.my,dmca,https://github.com/FancyCoolerGuy2283/Free-TV-IPTV/issues/6
AstroPremierLeague2.my,dmca,https://github.com/FancyCoolerGuy2283/Free-TV-IPTV/issues/6
AstroAwani.my,dmca,https://github.com/FancyCoolerGuy2283/Free-TV-IPTV/issues/6
Cinemax.us,drm,https://github.com/FancyCoolerGuy2283/Free-TV-IPTV/issues/57
VTV1.vn,drm,https://github.com/FancyCoolerGuy2283/Free-TV-IPTV/issues/57
VTV2.vn,drm,https://github.com/FancyCoolerGuy2283/Free-TV-IPTV/issues/57
VTV3.vn,drm,https://github.com/FancyCoolerGuy2283/Free-TV-IPTV/issues/57
VTV4.vn,drm,https://github.com/FancyCoolerGuy2283/Free-TV-IPTV/issues/57
VTV5.vn,drm,https://github.com/FancyCoolerGuy2283/Free-TV-IPTV/issues/57
VTV6.vn,drm,https://github.com/FancyCoolerGuy2283/Free-TV-IPTV/issues/57
VTV7.vn,drm,https://github.com/FancyCoolerGuy2283/Free-TV-IPTV/issues/57
VTV8.vn,drm,https://github.com/FancyCoolerGuy2283/Free-TV-IPTV/issues/57
VTV9.vn,drm,https://github.com/FancyCoolerGuy2283/Free-TV-IPTV/issues/57
VTV10.vn,drm,https://github.com/FancyCoolerGuy2283/Free-TV-IPTV/issues/57
